prefered placename	tgn id	latitude	longitude	tgn placetype	place category	parents	google maps	Comment	Uncertainty	name var 1	name var 2	name var 3	name var 4	name var 5	name var 6	name var 7	name var 8	name var 9	name var 10	name var 11	name var 12	name var 13	name var 14	name var 15	name var 16	name var 17	name var 18	name var 19	name var 20	name var 21	name var 22	name var 23	name var 24	name var 25	name var 26	name var 27	name var 28	name var 29	name var 30	name var 31	name var 32	name var 33	name var 34	name var 35	name var 36
Aduana		10.291667	123.904444		Point		https://www.google.com/maps/place/10.291667+123.904444		false	Aduana, Cebu	Aduana																																		
Albay	1001094	13.2167	123.55	Province	Polygon		https://www.google.com/maps/place/13.2167+123.55		false	Albay, Philippines																																			
Amoy	7001465	24.479794	118.081869	Inhabited place	Point	GR_Kansuh	https://www.google.com/maps/place/24.479794+118.081869		false	Amoy	Amoy.																																		
Amur	1003354	54	128	Region	Polygon			There are differents Amurs and a river with this name. - Best to link it to the region in Russia (Amurskaya Oblast) - the TGN exists and we can't be that they were definitely referring to Amur the town within modern Chinese Borders. This would require further research to confirm, but the region is not wrong in any case, though not as specific as might be hoped.	true	Amur	Amur, Siberia	Amur, Eastern Siberia																																	
An-shuen	1066563	26.25	105.933333	Inhabited place	Point	GR_Kansuh	https://www.google.com/maps/place/26.25+105.933333		false	An-shuen, Kweichow	An-shuen																																		
Andien, Annam		11.024559	106.389885		Point		https://www.google.com/maps/place/11.024559+106.389885	highly uncertain, An Tịnh seems to be called Andien at least until the Vietnam War, but it's located in Cochinchina	true	Andien, Annam																																			
Anhwei	7002075	31.916667	117.166667	Province	Polygon		https://www.google.com/maps/place/31.916667+117.166667		false	Anhwei																																			
Anking	1066557	30.513646	117.047234	Inhabited place	Point		https://www.google.com/maps/place/30.513646+117.047234		false	Anking																																			
Annam	6000295	null	null	Historical region	Polygon		https://www.google.com/maps/place/null+null	Coordinates are an estimate. TGN does not supply coordinates. The middle part of Vietnam would be fine for general coordinates, using Hué for example would be fine	false	Annam	Provinces de l’Annam	Annum																																	
Anpoa, Fokien								Not found	true	Anpoa, Fokien																																			
Anshu	1066563	26.25	105.933333	Inhabited place	Point		https://www.google.com/maps/place/26.25+105.933333	highly uncertain, Anshun is a city in middle/southern China	true	Anshu, North China																																			
Antung	7002198	40.129167	124.394722	Inhabited place	Point		https://www.google.com/maps/place/40.129167+124.394722	via map	true	Antung																																			
Aoyama	1079812	34.6	136.2167	Inhabited place	Point	GR_Kansuh, GR_Siam	https://www.google.com/maps/place/34.6+136.2167	There are two cities in Japan, the other one is in today's Tokyo prefecture: https://de.wikipedia.org/wiki/Aoyama	true	Aoyama	Aoyama, Japan																																		
Ayuthia, Siam	7000948	14.283	100.5	Province	Polygon	GR_Siam	https://www.google.com/maps/place/14.283+100.5		false	Ayuthia, Siam																																			
Siam	1087051	21.1833	106.05	Inhabited place	Point	GR_Siam	https://www.google.com/maps/place/21.1833+106.05		false	Siam	Bacninh	Bacninh, Tonkin																																	
